name,rating,ctype,highly_rated,critically_rated
Ginger Hotels,4.0,Hospitality,"Job Security, Company Culture, Work Life Balance","Promotions, Salary"
Adani Airport Holdings,2.9,Aviation,"Promotions, Work Satisfaction, Company Culture",
Magnasoft Consulting India,3.3,IT Services & Consulting,"Job Security, Work Life Balance, Promotions",
Eversana,3.2,Software Product,"Promotions, Skill Development, Company Culture",
Kapston Services,4.0,Recruitment,"Work Life Balance, Company Culture, Work Satisfaction",
Indutch Composites Technology,3.7,Industrial Machinery,"Company Culture, Promotions, Salary",
Allen Solly,3.9,Fashion & Textile,Promotions,
Nova IVI Fertility,3.8,Healthcare,"Work Life Balance, Skill Development",Promotions
Parason Machinery,3.3,Industrial Machinery,"Job Security, Promotions, Company Culture",
Metro Brands,3.8,Fashion & Textile,"Promotions, Salary",
University of Petroleum & Energy Studies,3.8,Education & Training,Work Life Balance,"Promotions, Job Security, Work Satisfaction"
Omprime Technology Private Limited,4.1,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction",
Box8,3.3,Hospitality,"Company Culture, Work Life Balance, Job Security",
Ratna Sagar,3.9,Printing & Publishing,Salary,Promotions
Naprod Life Sciences,3.5,Pharma,"Job Security, Promotions, Work Satisfaction",
Ammann Apollo,4.1,Industrial Machinery,"Work Life Balance, Job Security, Salary",
Bihar Foundry and Castings Limited,4.4,Industrial Machinery,"Salary, Company Culture, Work Life Balance",
Evonith Value Steels,4.2,Iron & Steel,"Job Security, Work Life Balance, Company Culture",Promotions
Sami-Sabinsa Group,3.2,Pharma,"Promotions, Company Culture, Skill Development",
MUNDRA SOLAR TECHNOPARK,3.7,Industrial Machinery,"Promotions, Salary",
M.J Global,3.9,Packaging,"Salary, Company Culture, Work Life Balance",
American Tower Corporation,3.9,Telecom,"Work Life Balance, Work Satisfaction","Promotions, Skill Development"
Sanoh,4.1,Auto Components,"Work Life Balance, Job Security, Company Culture",
Atibir Industries,3.2,Iron & Steel,"Promotions, Company Culture, Salary",
Chandan Steel,3.4,Metals & Mining,"Promotions, Salary, Company Culture",
Dhandhania Infotech,3.3,IT Services & Consulting,"Promotions, Skill Development, Salary",
Shaw Toyota,4.9,Automobile,"Company Culture, Work Life Balance, Work Satisfaction",
Virohan,3.9,EdTech,"Company Culture, Work Life Balance, Work Satisfaction",
Renata Precision Components,3.5,Industrial Machinery,"Salary, Promotions, Work Life Balance",
ILS Hospitals,3.6,Healthcare,"Promotions, Work Satisfaction, Salary",
Corecard Software,3.8,FinTech,Salary,"Skill Development, Work Life Balance, Work Satisfaction"
Rasna,3.4,Food Processing,"Promotions, Company Culture, Work Satisfaction",
HMSHost,3.8,FMCG,"Promotions, Company Culture, Work Satisfaction",
Infosearch BPO Services,4.1,BPO,"Job Security, Work Satisfaction, Company Culture",
EVIO,3.8,Power,Job Security,"Promotions, Work Life Balance"
Nordex India,3.9,Internet,Work Life Balance,Promotions
SLAP,3.8,Management Consulting,"Promotions, Work Satisfaction, Work Life Balance",
IMSI,3.1,Recruitment,"Promotions, Salary, Company Culture",
UPS Supply Chain Solutions,3.7,Logistics,"Promotions, Work Satisfaction, Skill Development",
Kobelco Construction Equipment India,4.3,Industrial Machinery,"Work Life Balance, Job Security, Company Culture",
Fusion,3.1,IT Services & Consulting,"Promotions, Salary, Job Security",
Focus Energy,3.5,Oil & Gas,"Promotions, Salary, Company Culture",
Government of West Bengal,3.6,Government,"Job Security, Work Life Balance","Promotions, Salary, Company Culture"
Parle Elizabeth Tools,4.0,Industrial Machinery,"Work Life Balance, Job Security, Skill Development",
Regalo Kitchens,3.6,Architecture & Interior Design,Salary,Job Security
Asian Institute of Medical Sciences,3.9,Faridabad +11 other locations,"Work Life Balance, Company Culture",Promotions
Pharmaceutical job,4.2,Pharma,"Skill Development, Work Life Balance, Job Security",
Jakson Green,4.3,Noida +36 other locations,"Job Security, Company Culture, Work Life Balance",
OASYS Cybernetics,3.2,IT Services & Consulting,"Promotions, Salary, Company Culture",
National Small Industries Corporation,3.9,Government,"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Salary"
SMS Pharmaceuticals,3.2,Pharma,"Promotions, Company Culture, Salary",
Agiliad,3.3,Engineering & Construction,"Promotions, Salary, Job Security",
Autometers Alliance,4.4,Electronics Manufacturing,"Work Life Balance, Job Security, Work Satisfaction",
Xchanging,4.1,IT Services & Consulting,"Company Culture, Work Satisfaction, Work Life Balance","Promotions, Salary"
American Oncology Institute,4.1,Healthcare,"Company Culture, Work Life Balance, Job Security",
Akkodis,3.2,IT Services & Consulting,"Job Security, Promotions, Skill Development",
BoAt,4.3,Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Work Satisfaction",
Harita Techserv,3.4,Recruitment,"Promotions, Salary, Company Culture",
Linfox Logistics,4.1,Urban Transport,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
MASAI School,4.3,EdTech,"Company Culture, Salary, Work Satisfaction",
Intuit,3.3,IT Services & Consulting,Salary,"Job Security, Work Satisfaction, Promotions"
Innoval Digital Solutions,4.7,Software Product,"Work Life Balance, Job Security, Company Culture",
TravelTriangle,3.4,Internet,"Promotions, Salary, Skill Development",
Prompt Personnel,3.8,Recruitment,Company Culture,Promotions
Med Manor Organics,3.7,Pharma,"Job Security, Promotions, Salary",
Balaji Enterprises,4.5,Real Estate,"Company Culture, Work Life Balance, Work Satisfaction",
Azim Premji Foundation,3.8,Non-Profit,Job Security,Promotions
Arkray Healthcare,3.6,Healthcare,Work Life Balance,"Promotions, Salary, Skill Development"
S Chand Group,4.1,Printing & Publishing,"Work Life Balance, Job Security, Company Culture",
NCL BUILDTEK,3.5,Building Material,"Promotions, Skill Development, Salary",
IVTL Infoview Technologies,3.5,IT Services & Consulting,Salary,"Job Security, Promotions, Skill Development"
EY-Parthenon,2.9,Bengaluru +13 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
La Renon Healthcare,4.1,Pharma,"Salary, Company Culture, Work Life Balance",
"Sanjay Ghodawat International School, Kolhapur",3.6,Education & Training,"Job Security, Promotions",
Tecnotree Convergence,3.1,IT Services & Consulting,"Promotions, Salary, Company Culture",
JAY JAY MILLS,4.1,Fashion & Textile,"Job Security, Work Life Balance, Salary",Promotions
bebo Technologies,3.5,IT Services & Consulting,"Job Security, Promotions, Salary",
Radio Mirchi,3.4,Broadcasting,"Promotions, Job Security, Salary",
Trivitron Healthcare,3.3,Medical Equipment,"Promotions, Job Security, Work Satisfaction",
Z1 Tech,4.1,Internet,"Company Culture, Salary, Work Life Balance",
Student Life,4.0,Non-Profit,"Company Culture, Job Security, Skill Development",
Scc Infrastructure,3.9,Engineering & Construction,Salary,"Promotions, Job Security"
Umedica Laboratories,3.6,Pharma,"Promotions, Work Satisfaction, Salary",
Bombay Rayon Fashions,3.3,Fashion & Textile,"Promotions, Work Satisfaction, Job Security",
WPIL,3.4,Building Material,"Skill Development, Company Culture, Work Satisfaction",
Grb Dairy Foods,3.5,Food Processing,"Promotions, Company Culture, Skill Development",
Infoesearch Ites,3.2,Media & Entertainment,"Promotions, Salary, Job Security",
Save the Children,4.4,Non-Profit,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Promotions"
Paradise Food Court,3.7,Hospitality,Salary,"Promotions, Job Security"
SUGAR Cosmetics,3.8,Internet,"Job Security, Promotions",
BPL Medical Technologies,3.4,Medical Equipment,"Promotions, Work Satisfaction, Company Culture",
Skechers,4.1,Retail,"Job Security, Company Culture, Work Life Balance",
VHS Consulting,3.8,IT Services & Consulting,Work Life Balance,"Job Security, Promotions"
Zeelab Pharmacy,3.6,Pharma,"Promotions, Company Culture, Job Security",
Aditya Birla Money,4.0,Chennai +44 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Rajasthan Patrika,3.4,Broadcasting,"Promotions, Job Security, Skill Development",
iD Fresh Food,4.1,FMCG,"Job Security, Company Culture, Skill Development",
NIELIT,4.1,Education & Training,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Q3 Technologies,3.5,IT Services & Consulting,"Promotions, Company Culture, Work Satisfaction",
Scania,3.6,Auto Components,"Promotions, Job Security, Skill Development",
Broker Network,2.4,Internet,"Job Security, Promotions, Company Culture",
Fresher Than Fresh,4.0,Retail,"Company Culture, Work Satisfaction, Job Security",
Geetanjali Medical College and Hospital,4.0,Healthcare,"Work Life Balance, Company Culture, Work Satisfaction",
LUX Industries,3.5,Fashion & Textile,"Promotions, Salary, Company Culture",
CP Plus,3.9,Law Enforcement & Security,Work Life Balance,Promotions
Flash Viven Machining Technologies,3.6,Auto Components,"Promotions, Salary, Company Culture",
CPM International,3.9,Recruitment,"Work Life Balance, Company Culture","Promotions, Skill Development"
Greenway Health,2.9,IT Services & Consulting,"Job Security, Promotions, Company Culture",
Albert David,3.5,Pharma,"Promotions, Company Culture, Work Satisfaction",
Selectsys,3.6,Software Product,"Promotions, Company Culture, Skill Development",
Shorthills AI,3.8,Emerging Technologies,Work Life Balance,"Promotions, Salary"
Touchstone Educationals,3.3,Education & Training,"Promotions, Job Security, Work Satisfaction",
Ventra Health,3.1,Analytics & KPO,"Promotions, Skill Development, Company Culture",
Advantum Health,2.9,Healthcare,"Job Security, Promotions, Company Culture",
Link Group,3.7,Financial Services,"Work Life Balance, Job Security, Company Culture",Promotions
Balasore Alloys,3.1,Metals & Mining,"Promotions, Job Security, Company Culture",
Impressico Business Solutions,4.5,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security",
Games24x7,3.8,Gaming,"Salary, Company Culture, Work Life Balance","Job Security, Promotions"
Uniinfo Telecom Services,3.6,Telecom,"Promotions, Company Culture, Work Satisfaction",
Red Bull,4.0,Beverage,"Salary, Company Culture, Work Life Balance",Promotions
ADARSH DEVELOPERS,4.3,Real Estate,"Job Security, Work Life Balance, Company Culture",
AGILE AIRPORT SERVICES,3.9,Aviation,"Job Security, Salary",Promotions
VRC Constructions India,3.8,Engineering & Construction,Promotions,
Tide - Business Management Platform,3.7,FinTech,Salary,"Promotions, Work Satisfaction, Job Security"
Reecomps Teleservices,3.8,Telecom,Promotions,
Mantri Developers,3.3,Real Estate,"Promotions, Work Satisfaction, Skill Development",
Sugam Parivahan,4.2,Logistics,"Work Life Balance, Company Culture, Job Security",
PIT Solutions,3.9,IT Services & Consulting,"Work Life Balance, Company Culture","Promotions, Salary"
Aachi Foods,4.1,FMCG,"Job Security, Work Life Balance, Work Satisfaction",
RineX,3.9,Bengaluru +16 other locations,"Company Culture, Work Life Balance, Skill Development",
Reliance Home Finance,4.5,NBFC,"Company Culture, Work Life Balance, Skill Development",
RASI SEEDS,4.1,Agriculture,"Job Security, Company Culture, Work Life Balance",Promotions
Linc,3.5,FMCG,"Promotions, Company Culture, Job Security",
Finorchem Limited,3.7,Petrochemicals,"Job Security, Promotions",
Oasis Partners Asia,3.8,Recruitment,"Promotions, Job Security, Work Satisfaction",
Pure & Cure Healthcare,4.0,Pharma,"Company Culture, Work Life Balance, Job Security",Promotions
APM Terminals,4.3,Ports & Shipping,"Work Life Balance, Company Culture, Work Satisfaction",
AT&S,3.8,Semiconductors,Work Life Balance,"Promotions, Job Security, Skill Development"
Ileads Auxiliary Services,2.9,BPO,"Promotions, Salary, Company Culture",
Sneha Farms,4.1,Agriculture,"Job Security, Work Life Balance, Company Culture",Promotions
Excelra Knowledge Solutions,3.5,Analytics & KPO,"Promotions, Salary, Skill Development",
Sonovision-Aetos,3.5,IT Services & Consulting,"Job Security, Promotions, Salary",
Learning Links Foundation,4.1,Non-Profit,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Zones Corporate Solutions,3.1,IT Services & Consulting,"Promotions, Skill Development, Company Culture",
Pontika Aerotech,3.7,Pharma,Work Satisfaction,
Godrej Capital,3.5,Financial Services,Salary,"Work Satisfaction, Promotions, Work Life Balance"
Orange Mantra,3.6,IT Services & Consulting,Job Security,
Cyrix Health Care,4.4,Medical Equipment,"Company Culture, Work Life Balance, Work Satisfaction",
SunMax Auto Engineering,3.5,Auto Components,"Company Culture, Job Security, Promotions",
DAZN,2.6,Media & Entertainment,"Promotions, Company Culture, Work Life Balance",
20Cube Logistics,3.8,Logistics,Promotions,
Andhra Paper,3.6,Pulp & Paper,Job Security,"Promotions, Salary, Company Culture"
Premier Indoplast,3.9,Faridabad +18 other locations,"Work Life Balance, Skill Development, Salary",Promotions
Shankaranarayana Constructions,3.9,Engineering & Construction,Salary,
Sears IT & Management Services India,3.1,IT Services & Consulting,"Job Security, Promotions, Skill Development",
Zydus Hospira Oncology,4.2,Pharma,"Job Security, Company Culture, Work Life Balance",
Copart,3.1,Automobile,"Promotions, Skill Development, Company Culture",
Reliance Money,4.3,Financial Services,"Company Culture, Work Life Balance, Work Satisfaction",
Brij Gopal Construction Company,3.9,Engineering & Construction,Promotions,
Stratosphere IT Services,3.0,Recruitment,"Job Security, Promotions, Skill Development",
Programmers.io,4.0,IT Services & Consulting,"Work Life Balance, Salary, Company Culture",
Epicor Software Corporation,3.1,IT Services & Consulting,"Promotions, Skill Development, Work Satisfaction",
Sewa Grih Rin,3.4,NBFC,"Company Culture, Job Security, Work Satisfaction",
Essae Digitronics,4.1,Electronics Manufacturing,"Company Culture, Work Life Balance, Skill Development",
AABSyS IT,3.3,IT Services & Consulting,"Salary, Promotions, Work Satisfaction",
BluSmart,3.9,Urban Transport,"Salary, Work Life Balance, Skill Development",Job Security
Sarda Energy & Minerals,4.0,Iron & Steel,"Job Security, Work Life Balance, Company Culture",
Jaypee Hotels,3.9,Hospitality,"Work Life Balance, Job Security","Promotions, Salary"
WEG,4.1,Electronics Manufacturing,"Skill Development, Company Culture, Work Satisfaction",Promotions
ExpertCallers,3.5,BPO,"Promotions, Salary, Job Security",
Maral Overseas,3.7,Fashion & Textile,"Promotions, Salary",
Om Innovation Call Services,3.6,BPO,"Salary, Promotions, Skill Development",
JPM Group,3.9,Industrial Machinery,"Work Life Balance, Job Security, Company Culture",Promotions
DelaPlex Software,4.2,IT Services & Consulting,"Work Life Balance, Skill Development, Company Culture",
Centaur Billing,3.9,BPO,"Work Life Balance, Work Satisfaction, Skill Development",
Precision Group,3.5,Industrial Machinery,"Promotions, Salary, Company Culture",
Sand Martin Consultants,3.0,BPO,"Promotions, Company Culture, Work Satisfaction",
Neolite Zkw Lightings,3.8,Auto Components,Job Security,
RSH Global,4.2,FMCG,"Company Culture, Work Life Balance, Job Security",Promotions
Charak Pharma,3.6,Healthcare,Work Life Balance,"Promotions, Job Security"
GLA University,3.6,Education & Training,"Promotions, Work Satisfaction, Skill Development",
Freedom Employability Academy,4.2,Education & Training,"Skill Development, Company Culture, Work Life Balance","Salary, Promotions"
Echs Polyclinic,4.2,Healthcare,"Work Life Balance, Work Satisfaction, Company Culture","Job Security, Promotions"
Promea Therapeutics,4.1,Medical Equipment,"Work Life Balance, Work Satisfaction, Skill Development",
Kalyani Maxion Wheels,4.1,Auto Components,"Job Security, Work Life Balance, Skill Development",Promotions
LinkedIn,4.1,Internet,"Work Life Balance, Salary, Company Culture","Job Security, Promotions"
Codeyoung,3.7,Bengaluru +6 other locations,"Promotions, Job Security",
Verifone,3.1,FinTech,"Promotions, Job Security, Skill Development",
Travelex,3.3,Financial Services,"Job Security, Promotions, Work Satisfaction",
The Indian Express,4.0,Printing & Publishing,"Work Life Balance, Job Security","Promotions, Salary, Skill Development"
Sankey Solutions,3.8,IT Services & Consulting,"Skill Development, Company Culture, Promotions",
Little Millennium,3.8,EdTech,"Work Life Balance, Skill Development","Promotions, Salary"
Elevate Services,3.1,Software Product,"Promotions, Job Security, Work Satisfaction",
Verifacts Services,3.3,Recruitment,"Promotions, Salary, Company Culture",
Gold's Gym,4.0,Fitness & Wellness,"Work Life Balance, Company Culture, Skill Development",Job Security
Gem Engserv,4.0,Engineering & Construction,"Salary, Work Life Balance, Company Culture",Job Security
Affluent Global Services,2.9,IT Services & Consulting,"Job Security, Promotions, Skill Development",
FarEye,3.2,IT Services & Consulting,"Job Security, Promotions, Work Life Balance",
Changepond Technologies,2.9,IT Services & Consulting,"Company Culture, Promotions, Salary",
Rustomjee Group,4.0,Real Estate,"Salary, Job Security, Work Life Balance",Promotions
HEG,3.8,Semiconductors,"Promotions, Salary, Company Culture",
KNR Constructions,4.2,Engineering & Construction,"Work Life Balance, Work Satisfaction, Skill Development",Promotions
Nineleaps Technology Solutions,4.2,IT Services & Consulting,"Work Life Balance, Skill Development, Salary",
TRF,3.5,Auto Components,"Promotions, Salary, Work Satisfaction",
Pearl Precision Products,3.8,Building Material,Promotions,
INFOSEC VENTURES,3.2,IT Services & Consulting,"Promotions, Company Culture, Work Life Balance",
Sedin Technologies,4.4,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction",
Texas Instruments,3.8,Semiconductors,"Salary, Job Security",Promotions
Ceragon Networks,3.8,Telecom,"Work Life Balance, Salary","Promotions, Job Security"
Army Ordnance Corps,4.8,Defence & Aerospace,"Work Life Balance, Company Culture, Work Satisfaction",
Ivy Hospital,3.6,Healthcare,"Promotions, Company Culture, Job Security",
Olympus,3.7,Medical Equipment,"Job Security, Work Life Balance","Promotions, Skill Development, Work Satisfaction"
Ga Digital Web Word,3.6,IT Services & Consulting,"Promotions, Job Security, Skill Development",
Lifelong India,3.9,Petrochemicals,"Job Security, Work Life Balance","Promotions, Salary"
Coffee Day,3.1,Hospitality,"Promotions, Company Culture, Work Satisfaction",
Kriti Industries,3.6,Building Material,"Promotions, Job Security, Company Culture",
CompuGroup Medical,3.3,Software Product,"Promotions, Company Culture, Work Satisfaction",
Veltris,3.7,IT Services & Consulting,Work Life Balance,"Job Security, Promotions"
Steelman Telecom,3.8,Telecom,"Promotions, Job Security, Salary",
Ritz-Carlton,4.1,Hospitality,"Company Culture, Job Security, Skill Development",
Google Pay,3.7,FinTech,Salary,Job Security
Lubi Industries Llp,4.2,Industrial Machinery,"Work Life Balance, Job Security, Company Culture",Promotions
Megafine Pharma,3.9,Pharma,"Company Culture, Work Life Balance, Skill Development",Promotions
Pattern Technologies,4.3,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",
Schott Poonawalla,3.5,Packaging,"Promotions, Work Satisfaction, Skill Development",
Informatica Business Solutions,3.8,Software Product,"Work Life Balance, Company Culture","Job Security, Promotions, Work Satisfaction"
Archwell Operations,3.4,IT Services & Consulting,"Promotions, Job Security, Skill Development",
AbbVie Inc.,3.7,Pharma,Salary,"Promotions, Job Security"
Matrix ComSec,3.6,Law Enforcement & Security,Job Security,"Promotions, Salary, Work Satisfaction"
Cube Highways,4.3,Engineering & Construction,"Job Security, Company Culture, Work Life Balance",Promotions
Kserve Bpo,4.5,BPO,"Work Life Balance, Company Culture, Work Satisfaction",
Nuance Communications,4.1,Software Product,"Salary, Company Culture, Work Life Balance",
MT Educare,2.9,EdTech,"Salary, Promotions, Company Culture",
La-Gajjar Machineries,4.3,Electronics Manufacturing,"Company Culture, Work Life Balance, Skill Development",Promotions
Bo International,4.1,Beauty & Personal Care,"Work Life Balance, Company Culture, Work Satisfaction",
Biotique,3.1,Beauty & Personal Care,"Promotions, Skill Development, Company Culture",
Beumer Group,4.0,Industrial Machinery,"Work Life Balance, Job Security, Company Culture",Promotions
Steril Gene Life Sciences,3.8,Pharma,"Job Security, Skill Development, Work Satisfaction","Salary, Promotions"
Victora Industries,3.7,Auto Components,"Company Culture, Promotions",
Agrim,3.5,Agriculture,"Work Life Balance, Promotions, Company Culture",
Flexituff Ventures International,3.3,Packaging,"Promotions, Salary, Company Culture",
Essel Group,4.2,Media & Entertainment,"Job Security, Skill Development, Work Life Balance",Promotions
Augtech Nextwealth,3.8,IT Services & Consulting,Company Culture,"Salary, Promotions, Job Security"
Successive Technologies,3.9,IT Services & Consulting,"Work Life Balance, Salary",
Shri Mahavir Ferro Alloys,3.4,Iron & Steel,"Promotions, Company Culture, Work Life Balance",
Patton International,3.7,Iron & Steel,Job Security,"Promotions, Salary, Company Culture"
D'Decor Home Fabrics,4.1,Fashion & Textile,"Work Life Balance, Job Security, Salary",Promotions
IPCS GLOBAL SOLUTIONS PVT LTD,4.4,Education & Training,"Skill Development, Company Culture, Work Life Balance",
Mvs Acmei Technologies,3.9,Industrial Machinery,"Job Security, Work Life Balance, Work Satisfaction",
Nielsen Sports,3.8,Sports & Recreation,Work Life Balance,"Promotions, Skill Development, Salary"
S&IB Services,4.0,Facility Management Services,"Work Life Balance, Job Security, Company Culture",Promotions
Veolia,3.9,Waste Management,"Company Culture, Work Life Balance, Job Security",Promotions
Six Phrase,3.7,Coimbatore +14 other locations,"Promotions, Company Culture",
Hicare Services,3.9,Facility Management Services,Company Culture,Promotions
Petrofac Engineering India,4.5,Petrochemicals,"Work Satisfaction, Salary, Company Culture",Job Security
Valenta AI Private Limited,4.3,Emerging Technologies,"Work Life Balance, Company Culture, Work Satisfaction",
SGB By BrandSafway,3.9,Engineering & Construction,,
Fragomen Immigration Services,3.4,Travel & Tourism,"Promotions, Skill Development, Salary",
Airtel Africa,3.1,Telecom,"Promotions, Company Culture, Skill Development",
Algoworks,3.1,IT Services & Consulting,"Promotions, Job Security, Skill Development",
State Street Global Advisors,3.7,Bengaluru +5 other locations,"Work Life Balance, Job Security","Promotions, Skill Development, Salary"
Innoplexus,4.0,IT Services & Consulting,"Work Life Balance, Company Culture, Skill Development",
SGB By BrandSafway,3.9,Engineering & Construction,,
Algoworks,3.1,IT Services & Consulting,"Promotions, Job Security, Skill Development",
Vcare Call Center,3.6,BPO,"Job Security, Promotions",
CyberSWIFT Infotech,3.3,IT Services & Consulting,"Promotions, Job Security, Work Life Balance",
Fortis Memorial Research Institute,4.0,Clinical Research,"Job Security, Skill Development, Company Culture",
Moreish Food,3.5,Food Processing,"Company Culture, Job Security, Promotions",
SAVA Healthcare,3.8,Pharma,"Work Life Balance, Job Security",Promotions
Wave Infratech,3.9,Real Estate,"Work Life Balance, Job Security, Company Culture",Promotions
Marquardt,3.7,Auto Components,"Promotions, Salary",
Valenta AI Private Limited,4.3,Emerging Technologies,"Work Life Balance, Company Culture, Work Satisfaction",
Fragomen Immigration Services,3.4,Travel & Tourism,"Promotions, Skill Development, Salary",
Knest Manufacturers,3.4,Metals & Mining,"Promotions, Salary, Work Satisfaction",
Airtel Africa,3.1,Telecom,"Promotions, Company Culture, Skill Development",
ICPA Health Products,3.1,Healthcare,"Promotions, Salary, Company Culture",
Ritu Kumar,4.1,Fashion & Textile,"Work Life Balance, Job Security, Skill Development",Promotions
Teerthanker Mahaveer University,3.4,Education & Training,"Promotions, Salary, Work Satisfaction",
ABCD,4.0,Education & Training,"Company Culture, Work Life Balance, Job Security",
Blue Cross Laboratories,3.7,Pharma,"Promotions, Salary",
Furlenco,3.3,Internet,"Job Security, Promotions, Work Satisfaction",
RegisterKaro,3.5,Internet,"Job Security, Work Life Balance",
Colourtex,3.8,Chemicals,"Job Security, Work Life Balance","Promotions, Salary"
Forest Essentials,4.1,Retail,"Work Life Balance, Job Security, Company Culture",Promotions
Mining Engineering Services,3.6,Metals & Mining,"Job Security, Skill Development",
Nuberg Engineering,3.7,Industrial Machinery,"Promotions, Skill Development, Work Satisfaction",
Coastal Marine Construction & Engineering,4.2,Engineering & Construction,"Work Life Balance, Job Security, Company Culture",
Mehin,3.9,Software Product,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Cross Country Infotech,4.0,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction",
Jagsonpal Pharmaceuticals,3.5,Pharma,"Promotions, Salary, Work Satisfaction",
Marine Electricals,3.6,Industrial Automation,"Promotions, Salary, Company Culture",
VisionTek,3.6,Telecom,"Promotions, Company Culture, Skill Development",
Merkle,3.4,Mumbai +12 other locations,"Promotions, Salary, Work Satisfaction",
Bank Muscat,4.2,Banking,"Job Security, Company Culture, Work Life Balance",
Sutlej Textiles and Industries,3.8,Fashion & Textile,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
Busy Infotech,4.0,Software Product,"Salary, Company Culture, Skill Development",
Pha India,4.0,Auto Components,"Job Security, Work Satisfaction","Promotions, Salary"
Relevantz Technology Services,3.6,IT Services & Consulting,Salary,"Job Security, Promotions"
Taggd,3.3,Recruitment,"Promotions, Work Life Balance, Job Security",
PrepLadder,2.7,EdTech,"Job Security, Promotions, Work Satisfaction",
BeatO,3.3,Fitness & Wellness,"Job Security, Promotions, Work Satisfaction",
Techahead Software,3.9,IT Services & Consulting,"Skill Development, Company Culture, Work Satisfaction",
King George's Medical University,4.2,Education & Training,"Skill Development, Work Life Balance, Work Satisfaction",
Bazar India,3.7,Retail,"Promotions, Salary",
United India Insurance Company,4.4,Insurance,"Work Life Balance, Job Security, Company Culture",
Garden Silk Mills,3.6,Fashion & Textile,Work Life Balance,"Promotions, Salary, Work Satisfaction"
SrinSoft Technologies,3.8,IT Services & Consulting,,
SIAC SKH India Cabs Manufacturing,3.8,Industrial Machinery,"Work Life Balance, Job Security","Promotions, Skill Development"
Ishan Technologies,3.7,Internet,Promotions,
Nahars Engineering India,3.2,Auto Components,"Company Culture, Work Life Balance, Work Satisfaction",
Moople Academy,4.2,Education & Training,"Company Culture, Skill Development, Work Life Balance",
Resonance Eduventures,3.7,EdTech,"Work Life Balance, Company Culture, Skill Development","Promotions, Salary, Job Security"
Vensa Infrastructure,4.3,Real Estate,"Job Security, Salary, Company Culture",
MINISO,3.7,Retail,"Job Security, Promotions, Work Satisfaction",
Hyva,3.8,Urban Transport,Work Life Balance,"Promotions, Skill Development"
Ncc Urban Infrastructure,4.2,Engineering & Construction,"Work Life Balance, Job Security, Skill Development",
Mayur Uniquoters,3.9,Leather,Work Life Balance,Promotions
Lapiz Digital Services,2.8,BPO,"Company Culture, Promotions, Job Security",
EFKON INDIA,3.8,IT Services & Consulting,"Salary, Work Life Balance","Company Culture, Promotions"
Blazeclan Technologies,3.7,IT Services & Consulting,Skill Development,"Promotions, Salary, Work Satisfaction"
MaRS Planning & Engineering Services,3.8,Engineering & Construction,Work Life Balance,"Promotions, Job Security"
inMorphis Services,4.0,IT Services & Consulting,"Skill Development, Salary, Company Culture",
Uni Cards,3.8,FinTech,Salary,"Job Security, Promotions"
Svatantra Micro Housing Finance Corporation Limited,3.9,Financial Services,"Work Life Balance, Company Culture",Promotions
Purnartha Investment Advisors,4.1,Financial Services,"Work Life Balance, Company Culture, Work Satisfaction",
ONLEI Technologies,4.9,Noida +22 other locations,"Company Culture, Work Life Balance, Skill Development",
MKCL,3.6,Education & Training,"Job Security, Work Life Balance","Salary, Promotions"
Yaantra,3.6,Internet,"Promotions, Job Security, Company Culture",
RAXA,4.2,Law Enforcement & Security,"Job Security, Work Satisfaction, Skill Development",
Preethi Kitchen Appliances,3.9,Electronics Manufacturing,"Salary, Work Life Balance",Promotions
STMicroelectronics,4.0,Semiconductors,"Work Life Balance, Company Culture, Job Security",Promotions
Xplore-Tech Services,3.2,BPO,"Promotions, Job Security, Company Culture",
Helmerich & Payne,3.8,Oil & Gas,"Work Life Balance, Company Culture","Promotions, Salary, Job Security"
Excellon Software,4.2,Software Product,"Company Culture, Work Life Balance, Salary",
Unthinkable Solutions,2.7,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",
Dunnhumby,3.7,Analytics & KPO,"Work Life Balance, Company Culture, Job Security","Promotions, Skill Development"
Flex Technologies,4.0,Chennai +10 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Globus Stores,3.7,Retail,Promotions,
Matix Fertilisers & Chemicals,3.7,Agro Chemicals,"Company Culture, Work Satisfaction, Promotions",
Milk Mantra Dairy,3.7,Food Processing,Promotions,
Helmerich & Payne,3.8,Oil & Gas,"Work Life Balance, Company Culture","Promotions, Salary, Job Security"
RAXA,4.2,Law Enforcement & Security,"Job Security, Work Satisfaction, Skill Development",
